filename,policy,query_type,cross_ratio,zipf_theta,rw_ratio,num_clflush,num_clwb,num_cache_hit,num_cache_miss,cache_hit_rate,total_commit,total_size_index_usage,total_size_metadata_usage,total_size_data_usage,total_size_transport_usage,total_size_misc_usage,total_hw_cc_usage,total_usage,round_trip_latency_50th,round_trip_latency_75th,round_trip_latency_95th,round_trip_latency_99th
policy_Clock_query_rmw_cross50_zipf0.7_rw10.txt,Clock,rmw,50.0,0.7,10.0,1163286.0,2807380.0,2039368.0,1163286.0,63.6774,23494.2,10126816.0,2807624.0,368500650.0,33554544.0,344.0,12934784.0,224257382.0,59.0,65.0,73.0,73.0
policy_Clock_query_rmw_cross50_zipf0.7_rw50.txt,Clock,rmw,50.0,0.7,50.0,1471036.0,2842839.0,4107571.0,1471036.0,73.6308,40797.2,11313528.0,3082744.0,404610150.0,33554544.0,344.0,14396616.0,243042038.0,58.0,61.0,72.0,72.0
policy_Clock_query_rmw_cross50_zipf0.7_rw90.txt,Clock,rmw,50.0,0.7,90.0,1662830.0,2078863.0,17348459.0,1662830.0,91.2535,136632.0,11823192.0,3199744.0,419966400.0,33554544.0,344.0,15023280.0,251029904.0,60.0,64.0,76.0,76.0
policy_Clock_query_rmw_cross50_zipf0.99_rw10.txt,Clock,rmw,50.0,0.99,10.0,,,,,,,,,,,,,,,,,
policy_Clock_query_rmw_cross50_zipf0.99_rw50.txt,Clock,rmw,50.0,0.99,50.0,821621.0,1492446.0,3838320.0,821621.0,82.3684,20811.2,6420472.0,1744576.0,228975600.0,33554544.0,344.0,8165392.0,152219312.0,58.0,64.0,75.0,75.0
policy_Clock_query_rmw_cross50_zipf0.99_rw90.txt,Clock,rmw,50.0,0.99,90.0,1118756.0,1364828.0,12290635.0,1118756.0,91.6569,86471.0,10404192.0,2882848.0,378373800.0,33554544.0,344.0,13287384.0,229421536.0,58.0,61.0,70.0,70.0
policy_Clock_query_rmw_cross90_zipf0.5_rw10.txt,Clock,rmw,90.0,0.5,10.0,1479294.0,3068907.0,1824856.0,1479294.0,55.2292,25061.7,11815000.0,3178856.0,417224850.0,33554544.0,344.0,14994200.0,249657392.0,58.0,62.0,71.0,71.0
policy_Clock_query_rmw_cross90_zipf0.5_rw50.txt,Clock,rmw,90.0,0.5,50.0,1846403.0,3038511.0,3953381.0,1846403.0,68.1643,43321.2,11804072.0,3199216.0,419897100.0,33554544.0,344.0,15003632.0,250993872.0,58.0,63.0,78.0,78.0
policy_Clock_query_rmw_cross90_zipf0.5_rw90.txt,Clock,rmw,90.0,0.5,90.0,1740880.0,2028200.0,16630693.0,1740880.0,90.5241,130270.0,11616192.0,3200000.0,420000000.0,33554544.0,344.0,14816536.0,251054768.0,58.0,62.0,75.0,75.0
policy_Clock_query_rmw_cross90_zipf0.7_rw10.txt,Clock,rmw,90.0,0.7,10.0,1434921.0,2903596.0,1871677.0,1434921.0,56.6043,23218.3,11152976.0,3080720.0,404344500.0,33554544.0,344.0,14234040.0,242832896.0,59.0,62.0,70.0,70.0
